Date,Return
09/30/2013,-0.00055
09/27/2013,-0.00203
09/26/2013,0.00107
09/25/2013,-0.01084
09/24/2013,0.00038
09/23/2013,-0.01839
09/20/2013,0.00525
09/19/2013,-0.00546
09/18/2013,0.01942
09/17/2013,-0.00186
09/16/2013,-0.00147
09/13/2013,-0.00447
09/12/2013,-0.00349
09/11/2013,0.00846
09/10/2013,0.00070
09/09/2013,0.00963
09/06/2013,0.00002
09/05/2013,0.00910
09/04/2013,0.01308
09/03/2013,0.01592
08/30/2013,-0.00997
08/29/2013,0.00811
08/28/2013,-0.00188
08/27/2013,-0.01874
08/26/2013,-0.00439
08/23/2013,-0.00401
08/22/2013,0.00504
08/21/2013,0.00452
08/20/2013,-0.00027
08/19/2013,0.01020
08/16/2013,-0.00320
08/15/2013,-0.01167
08/14/2013,-0.01298
08/13/2013,-0.00481
08/12/2013,-0.00550
08/09/2013,-0.00252
08/08/2013,0.00226
08/07/2013,-0.00660
08/06/2013,-0.00931
08/05/2013,-0.00173
08/02/2013,0.00260
08/01/2013,0.01855
07/31/2013,-0.00356
07/30/2013,0.00980
07/29/2013,-0.00348
07/26/2013,-0.00265
07/25/2013,-0.01683
07/24/2013,-0.00100
07/23/2013,-0.00758
07/22/2013,0.01573
07/19/2013,-0.01546
07/18/2013,-0.00857
07/17/2013,-0.00115
07/16/2013,-0.00549
07/15/2013,0.00183
07/12/2013,0.00300
07/11/2013,0.01573
07/10/2013,0.00083
07/09/2013,0.00017
07/08/2013,0.01298
07/05/2013,0.00796
07/03/2013,0.00467
07/02/2013,-0.00627
07/01/2013,0.00853
06/28/2013,0.00376
06/27/2013,0.00391
06/26/2013,0.00860
06/25/2013,-0.00413
06/24/2013,-0.01265
06/21/2013,-0.00431
06/20/2013,-0.01770
06/19/2013,0.00007
06/18/2013,0.01621
06/17/2013,0.01281
06/14/2013,-0.00223
06/13/2013,0.00576
06/12/2013,-0.00890
06/11/2013,-0.01169
06/10/2013,0.01192
06/07/2013,0.01745
06/06/2013,0.00575
06/05/2013,0.00070
06/04/2013,-0.00983
06/03/2013,-0.00412
05/31/2013,0.00053
05/30/2013,0.00282
05/29/2013,-0.01471
05/28/2013,0.00910
05/24/2013,-0.01073
05/23/2013,-0.00745
05/22/2013,-0.01935
05/21/2013,-0.00172
05/20/2013,-0.00071
05/17/2013,0.00587
05/16/2013,-0.01312
05/15/2013,0.03245
05/14/2013,0.01091
05/13/2013,-0.00307
05/10/2013,0.01004
05/09/2013,-0.00246
05/08/2013,0.01913
05/07/2013,-0.00501
05/06/2013,0.01872
05/03/2013,0.01942
05/02/2013,0.01119
05/01/2013,-0.00502
04/30/2013,0.00673
04/29/2013,0.02201
04/26/2013,-0.00949
04/25/2013,-0.00535
04/24/2013,0.00687
04/23/2013,0.00974
04/22/2013,0.00030
04/19/2013,0.04434
04/18/2013,-0.02128
04/17/2013,-0.01363
04/16/2013,0.01463
04/15/2013,-0.01028
04/12/2013,-0.00043
04/11/2013,0.00027
04/10/2013,0.01611
04/09/2013,0.00361
04/08/2013,-0.01047
04/05/2013,-0.01512
04/04/2013,-0.01381
04/03/2013,-0.00841
04/02/2013,0.01479
04/01/2013,0.00881
03/28/2013,-0.01055
03/27/2013,-0.01201
03/26/2013,0.00343
03/25/2013,-0.00083
03/22/2013,-0.00117
03/21/2013,-0.00423
03/20/2013,0.00418
03/19/2013,0.00437
03/18/2013,-0.00799
03/15/2013,-0.00881
03/14/2013,-0.00457
03/13/2013,-0.00278
03/12/2013,-0.00864
03/11/2013,0.00397
03/08/2013,-0.00130
03/07/2013,0.00147
03/06/2013,-0.00861
03/05/2013,0.02082
03/04/2013,0.01899
03/01/2013,0.00623
02/28/2013,0.00178
02/27/2013,0.01221
02/26/2013,-0.00081
02/25/2013,-0.01118
02/22/2013,0.00525
02/21/2013,0.00387
02/20/2013,-0.01783
02/19/2013,0.01761
02/15/2013,0.00644
02/14/2013,0.00634
02/13/2013,0.00277
02/12/2013,-0.00220
02/11/2013,-0.00376
02/08/2013,0.01476
02/07/2013,0.00491
02/06/2013,0.00579
02/05/2013,0.00885
02/04/2013,-0.02138
02/01/2013,0.02635
01/31/2013,0.00247
01/30/2013,0.00020
01/29/2013,0.00393
01/28/2013,-0.00390
01/25/2013,-0.00072
01/24/2013,0.01714
01/23/2013,0.05496
01/22/2013,-0.00233
01/18/2013,-0.00957
01/17/2013,-0.00541
01/16/2013,-0.01344
01/15/2013,0.00232
01/14/2013,-0.02262
01/11/2013,-0.00201
01/10/2013,0.00455
01/09/2013,0.00657
01/08/2013,-0.00197
01/07/2013,-0.00436
01/04/2013,0.01976
01/03/2013,0.00058
01/02/2013,0.02243
12/31/2012,0.01053
12/28/2012,-0.00889
12/27/2012,-0.00364
12/26/2012,-0.00089
12/24/2012,-0.00857
12/21/2012,-0.00932
12/20/2012,0.00312
12/19/2012,-0.00133
12/18/2012,0.00040
12/17/2012,0.02681
12/14/2012,-0.00105
12/13/2012,0.00737
12/12/2012,0.00098
12/11/2012,0.01672
12/10/2012,0.00177
12/07/2012,-0.01001
12/06/2012,0.00481
12/05/2012,-0.00465
12/04/2012,-0.00607
12/03/2012,-0.00447
11/30/2012,0.00937
11/29/2012,0.01202
11/28/2012,0.01932
11/27/2012,0.01446
11/26/2012,-0.01021
11/23/2012,0.00315
11/21/2012,-0.00612
11/20/2012,0.00263
11/19/2012,0.03249
11/16/2012,-0.00012
11/15/2012,-0.00811
11/14/2012,-0.00986
11/13/2012,-0.01029
11/12/2012,0.00433
11/09/2012,0.01647
11/08/2012,-0.02223
11/07/2012,-0.02142
11/06/2012,-0.00182
11/05/2012,-0.00721
11/02/2012,0.00048
11/01/2012,0.01072
10/31/2012,0.00763
10/26/2012,-0.00385
10/25/2012,0.00068
10/24/2012,-0.00448
10/23/2012,0.00248
10/22/2012,-0.00458
10/19/2012,-0.01901
10/18/2012,-0.08007
10/17/2012,0.01449
10/16/2012,0.00502
10/15/2012,-0.00506
10/12/2012,-0.00896
10/11/2012,0.00929
10/10/2012,0.00063
10/09/2012,-0.01814
10/08/2012,-0.01278
10/05/2012,-0.00052
10/04/2012,0.00728
10/03/2012,0.00728
10/02/2012,-0.00629
10/01/2012,0.00965
09/28/2012,-0.00264
09/27/2012,0.00403
09/26/2012,0.00574
09/25/2012,-0.00029
09/24/2012,0.02097
09/21/2012,0.00806
09/20/2012,0.00085
09/19/2012,0.01284
09/18/2012,0.01169
09/17/2012,0.00042
09/14/2012,0.00516
09/13/2012,0.02194
09/12/2012,-0.00189
09/11/2012,-0.01224
09/10/2012,-0.00762
09/07/2012,0.00965
09/06/2012,0.02744
09/05/2012,-0.00047
09/04/2012,-0.00591
08/31/2012,0.00500
08/30/2012,-0.00920
08/29/2012,0.01589
08/28/2012,0.01200
08/27/2012,-0.01387
08/24/2012,0.00270
08/23/2012,-0.00056
08/22/2012,0.01146
08/21/2012,-0.00893
08/20/2012,-0.00236
08/17/2012,0.00635
08/16/2012,0.00798
08/15/2012,-0.00168
08/14/2012,0.01311
08/13/2012,0.02805
08/10/2012,-0.00054
08/09/2012,0.00019
08/08/2012,0.00264
08/07/2012,-0.00355
08/06/2012,0.00232
08/03/2012,0.02001
08/02/2012,-0.00621
08/01/2012,-0.00046
07/31/2012,0.00106
07/30/2012,-0.00419
07/27/2012,0.03522
07/26/2012,0.00883
07/25/2012,0.00069
07/24/2012,-0.01290
07/23/2012,0.00768
07/20/2012,0.02995
07/19/2012,0.02118
07/18/2012,0.00699
07/17/2012,0.00315
07/16/2012,-0.00278
07/13/2012,0.01059
07/12/2012,-0.00124
07/11/2012,-0.01807
07/10/2012,-0.00735
07/09/2012,0.00005
07/06/2012,-0.01668
07/05/2012,0.01376
07/03/2012,0.01268
07/02/2012,0.00069
06/29/2012,0.02793
06/28/2012,-0.00877
06/27/2012,0.00818
06/26/2012,0.00710
06/25/2012,-0.01886
06/22/2012,0.01109
06/21/2012,-0.02130
06/20/2012,-0.00691
06/19/2012,0.01871
06/18/2012,0.01123
06/15/2012,0.00977
06/14/2012,-0.00364
06/13/2012,-0.00710
06/12/2012,-0.00598
06/11/2012,-0.02059
06/08/2012,0.00384
06/07/2012,-0.00403
06/06/2012,0.01781
06/05/2012,-0.01414
06/04/2012,0.01333
06/01/2012,-0.01701
05/31/2012,-0.01253
05/30/2012,-0.01028
05/29/2012,0.00475
05/25/2012,-0.02009
05/24/2012,-0.00952
05/23/2012,0.01441
05/22/2012,-0.02167
05/21/2012,0.02283
05/18/2012,-0.03635
05/17/2012,-0.00935
05/16/2012,0.02916
05/15/2012,0.01177
05/14/2012,-0.00203
05/11/2012,-0.01374
05/10/2012,0.00740
05/09/2012,-0.00594
05/08/2012,0.00862
05/07/2012,0.01772
05/04/2012,-0.02299
05/03/2012,0.00619
05/02/2012,0.00468
05/01/2012,-0.00069
04/30/2012,-0.01647
04/27/2012,-0.00080
04/26/2012,0.00943
04/25/2012,0.01405
04/24/2012,0.00614
04/23/2012,0.00258
04/20/2012,-0.00541
04/19/2012,-0.01342
04/18/2012,-0.00348
04/17/2012,0.00577
